Index,UKX
2013-02-08,6228.42
2013-02-11,6263.93
2013-02-12,6277.06
2013-02-13,6338.38
2013-02-14,6359.11
2013-02-15,6327.36
2013-02-18,6328.26
2013-02-19,6318.19
2013-02-20,6379.07
2013-02-21,6395.37
2013-02-22,6291.54
2013-02-25,6335.7
2013-02-26,6355.37
2013-02-27,6270.44
2013-02-28,6325.88
2013-03-01,6360.81
2013-03-04,6378.6
2013-03-05,6345.63
2013-03-06,6431.95
2013-03-07,6427.64
2013-03-08,6439.16
2013-03-11,6483.58
2013-03-12,6503.63
2013-03-13,6510.62
2013-03-14,6481.5
2013-03-15,6529.41
2013-03-18,6489.65
2013-03-19,6457.92
2013-03-20,6441.32
2013-03-21,6432.7
2013-03-22,6388.55
2013-03-25,6392.76
2013-03-26,6378.38
2013-03-27,6399.37
2013-03-28,6387.56
2013-04-01,6411.74
2013-04-02,
2013-04-03,6490.66
2013-04-04,6420.28
2013-04-05,6344.12
2013-04-08,6249.78
2013-04-09,6276.94
2013-04-10,6313.21
2013-04-11,6387.37
2013-04-12,6416.14
2013-04-15,6384.39
2013-04-16,6343.6
2013-04-17,6304.58
2013-04-18,6244.21
2013-04-19,6243.67
2013-04-22,6286.59
2013-04-23,6280.62
2013-04-24,6406.12
2013-04-25,6431.76
2013-04-26,6442.59
2013-04-29,6426.42
2013-04-30,6458.02
2013-05-01,6430.12
2013-05-02,6451.29
2013-05-03,6460.71
2013-05-06,6521.46
2013-05-07,
2013-05-08,6557.3
2013-05-09,6583.48
2013-05-10,6592.74
2013-05-13,6624.98
2013-05-14,6631.76
2013-05-15,6686.06
2013-05-16,6693.55
2013-05-17,6687.8
2013-05-20,6723.06
2013-05-21,6755.63
2013-05-22,6803.87
2013-05-23,6840.27
2013-05-24,6696.79
2013-05-27,6654.34
2013-05-28,
2013-05-29,6762.01
2013-05-30,6627.17
2013-05-31,6656.99
2013-06-03,6583.09
2013-06-04,6525.12
2013-06-05,6558.58
2013-06-06,6419.31
2013-06-07,6336.11
2013-06-10,6411.99
2013-06-11,6400.45
2013-06-12,6340.08
2013-06-13,6299.45
2013-06-14,6304.63
2013-06-17,6308.26
2013-06-18,6330.49
2013-06-19,6374.21
2013-06-20,6348.82
2013-06-21,6159.51
2013-06-24,6116.17
2013-06-25,6029.1
2013-06-26,6101.91
2013-06-27,6165.48
2013-06-28,6243.4
2013-07-01,6215.47
2013-07-02,6307.78
2013-07-03,6303.94
2013-07-04,6229.87
2013-07-05,6421.67
2013-07-08,6375.52
2013-07-09,6450.07
2013-07-10,6513.08
2013-07-11,6504.96
2013-07-12,6543.41
2013-07-15,6544.94
2013-07-16,6586.11
2013-07-17,6556.35
2013-07-18,6571.93
2013-07-19,6634.36
2013-07-22,6630.67
2013-07-23,6623.17
2013-07-24,6597.44
2013-07-25,6620.43
2013-07-26,6587.95
2013-07-29,6554.79
2013-07-30,6560.25
2013-07-31,6570.95
2013-08-01,6621.06
2013-08-02,6681.98
2013-08-05,6647.87
2013-08-06,6619.58
2013-08-07,6604.21
2013-08-08,6511.21
2013-08-09,6529.68
2013-08-12,6583.39
2013-08-13,6574.34
2013-08-14,6611.94
2013-08-15,6587.43
2013-08-16,6483.34
2013-08-19,6499.99
2013-08-20,6465.73
2013-08-21,6453.46
2013-08-22,6390.84
2013-08-23,6446.87
2013-08-26,6492.1
2013-08-27,
2013-08-28,6440.97
2013-08-29,6430.06
2013-08-30,6483.05
2013-09-02,6412.93
2013-09-03,6506.19
2013-09-04,6468.41
2013-09-05,6474.74
2013-09-06,6532.44
2013-09-09,6547.33
2013-09-10,6530.74
2013-09-11,6583.99
2013-09-12,6588.43
2013-09-13,6588.98
2013-09-16,6583.8
2013-09-17,6622.86
2013-09-18,6570.17
2013-09-19,6558.82
2013-09-20,6625.39
2013-09-23,6596.43
2013-09-24,6557.37
2013-09-25,6571.46
2013-09-26,6551.53
2013-09-27,6565.59
2013-09-30,6512.66
2013-10-01,6462.22
2013-10-02,6460.01
2013-10-03,6437.5
2013-10-04,6449.04
2013-10-07,6453.88
2013-10-08,6437.28
2013-10-09,6365.83
2013-10-10,6337.91
2013-10-11,6430.49
2013-10-14,6487.19
2013-10-15,6507.65
2013-10-16,6549.11
